elapsed_time_s,speed_mps
4.819,0.4831
4.824,0.4814
4.829,0.4801
4.834,0.4790
4.839,0.4785
4.844,0.4782
4.849,0.4783
4.854,0.4786
4.859,0.4793
4.864,0.4803
4.869,0.4816
4.874,0.4832
4.880,0.4850
4.885,0.4870
4.889,0.4893
4.894,0.4917
4.899,0.4944
4.904,0.4972
4.909,0.5001
4.914,0.5032
4.919,0.5064
4.924,0.5096
4.929,0.5130
4.934,0.5164
4.939,0.5199
4.944,0.5234
4.950,0.5269
4.955,0.5305
4.959,0.5339
4.964,0.5374
4.969,0.5409
4.974,0.5443
4.979,0.5476
4.984,0.5509
4.990,0.5541
4.994,0.5572
4.999,0.5602
5.004,0.5632
5.009,0.5660
5.014,0.5687
5.019,0.5712
5.024,0.5736
5.030,0.5759
5.034,0.5781
5.039,0.5800
5.044,0.5819
5.049,0.5835
5.054,0.5851
5.059,0.5864
5.064,0.5876
5.069,0.5885
5.074,0.5894
5.079,0.5900
5.084,0.5904
5.089,0.5907
5.094,0.5908
5.099,0.5906
5.104,0.5904
5.109,0.5898
5.114,0.5892
5.119,0.5883
5.124,0.5872
5.129,0.5859
5.135,0.5845
5.139,0.5828
5.144,0.5810
5.149,0.5790
5.154,0.5768
5.159,0.5743
5.164,0.5718
5.170,0.5690
5.174,0.5661
5.179,0.5629
5.184,0.5597
5.189,0.5562
5.194,0.5526
5.199,0.5488
5.204,0.5448
5.209,0.5407
5.214,0.5365
5.219,0.5320
5.224,0.5275
5.229,0.5228
5.234,0.5180
5.239,0.5130
5.244,0.5081
5.249,0.5029
5.254,0.4977
5.259,0.4923
5.264,0.4870
5.269,0.4814
5.274,0.4759
5.279,0.4703
5.284,0.4647
5.289,0.4590
5.294,0.4534
5.299,0.4477
5.304,0.4421
5.309,0.4364
5.314,0.4309
5.320,0.4253
5.324,0.4199
5.329,0.4146
5.334,0.4094
5.340,0.4043
5.344,0.3995
5.349,0.3948
5.354,0.3903
5.359,0.3861
5.364,0.3821
5.369,0.3784
5.374,0.3751
5.379,0.3720
5.384,0.3694
5.389,0.3671
5.394,0.3653
5.400,0.3639
5.404,0.3630
5.409,0.3625
5.414,0.3626
5.419,0.3631
5.424,0.3643
5.429,0.3659
5.434,0.3681
5.439,0.3709
5.445,0.3742
5.449,0.3781
5.454,0.3826
5.460,0.3876
5.465,0.3932
5.469,0.3992
5.474,0.4058
5.480,0.4129
5.484,0.4205
5.489,0.4286
5.495,0.4371
5.500,0.4461
5.504,0.4554
5.509,0.4653
5.514,0.4755
5.519,0.4860
5.524,0.4969
5.529,0.5082
5.534,0.5198
5.539,0.5318
5.544,0.5438
5.549,0.5564
5.554,0.5690
5.559,0.5820
5.564,0.5952
5.569,0.6087
5.574,0.6224
5.579,0.6363
5.584,0.6502
5.589,0.6645
5.594,0.6789
5.599,0.6936
5.604,0.7082
5.609,0.7233
5.615,0.7383
5.619,0.7535
5.624,0.7689
5.629,0.7842
5.635,0.8000
5.639,0.8155
5.644,0.8313
5.649,0.8473
5.654,0.8631
5.659,0.8793
5.664,0.8954
5.669,0.9117
5.674,0.9280
5.679,0.9443
5.684,0.9609
5.689,0.9775
5.694,0.9941
5.699,1.0106
5.704,1.0273
5.709,1.0441
5.714,1.0609
5.719,1.0777
5.724,1.0946
5.729,1.1115
5.734,1.1287
5.739,1.1456
5.744,1.1626
5.749,1.1798
5.754,1.1968
5.759,1.2139
5.764,1.2309
5.769,1.2481
5.774,1.2651
5.779,1.2824
5.784,1.2996
5.789,1.3168
5.794,1.3340
5.799,1.3513
5.804,1.3683
5.809,1.3856
5.814,1.4028
5.819,1.4200
5.824,1.4372
5.829,1.4544
5.834,1.4715
5.839,1.4887
5.844,1.5059
5.849,1.5232
5.854,1.5403
5.859,1.5575
5.864,1.5745
5.869,1.5917
5.874,1.6089
5.879,1.6259
5.884,1.6428
5.889,1.6599
5.894,1.6768
5.899,1.6939
5.904,1.7109
5.909,1.7279
5.914,1.7446
5.919,1.7615
5.924,1.7783
5.929,1.7951
5.934,1.8120
5.939,1.8287
5.944,1.8453
5.949,1.8621
5.954,1.8787
5.959,1.8954
5.964,1.9119
5.969,1.9283
5.974,1.9448
5.979,1.9612
5.984,1.9776
5.989,1.9940
5.994,2.0103
5.999,2.0266
6.004,2.0429
6.009,2.0590
6.014,2.0751
6.019,2.0912
6.024,2.1072
6.029,2.1234
6.034,2.1392
6.039,2.1549
6.044,2.1708
6.049,2.1866
6.054,2.2023
6.059,2.2180
6.065,2.2337
6.069,2.2493
6.074,2.2647
6.079,2.2802
6.084,2.2956
6.089,2.3110
6.094,2.3262
6.099,2.3415
6.104,2.3565
6.109,2.3717
6.114,2.3867
6.119,2.4017
6.124,2.4165
6.129,2.4315
6.134,2.4461
6.139,2.4611
6.144,2.4755
6.149,2.4900
6.154,2.5045
6.159,2.5190
6.164,2.5332
6.170,2.5476
6.174,2.5617
6.179,2.5761
6.184,2.5899
6.189,2.6040
6.194,2.6178
6.199,2.6317
6.204,2.6455
6.209,2.6592
6.214,2.6728
6.219,2.6864
6.224,2.6998
6.229,2.7132
6.234,2.7265
6.239,2.7399
6.244,2.7530
6.250,2.7664
6.254,2.7792
6.259,2.7920
6.264,2.8048
6.269,2.8176
6.274,2.8304
6.279,2.8430
6.284,2.8556
6.289,2.8680
6.294,2.8804
6.299,2.8929
6.304,2.9050
6.309,2.9172
6.314,2.9291
6.319,2.9413
6.324,2.9531
6.329,2.9650
6.334,2.9767
6.339,2.9885
6.344,3.0000
6.349,3.0116
6.354,3.0229
6.359,3.0344
6.364,3.0455
6.369,3.0568
6.374,3.0679
6.379,3.0790
6.384,3.0899
6.389,3.1008
6.394,3.1116
6.400,3.1223
6.404,3.1330
6.409,3.1436
6.414,3.1540
6.419,3.1644
6.424,3.1747
6.429,3.1851
6.434,3.1952
6.439,3.2053
6.444,3.2153
6.449,3.2253
6.454,3.2351
6.460,3.2451
6.465,3.2547
6.469,3.2643
6.474,3.2738
6.479,3.2834
6.484,3.2928
6.489,3.3021
6.494,3.3113
6.499,3.3206
6.504,3.3296
6.509,3.3388
6.514,3.3476
6.519,3.3566
6.524,3.3653
6.529,3.3741
6.534,3.3827
6.539,3.3914
6.544,3.3999
6.549,3.4083
6.554,3.4166
6.559,3.4250
6.564,3.4331
6.569,3.4414
6.574,3.4494
6.579,3.4575
6.584,3.4653
6.589,3.4732
6.594,3.4810
6.599,3.4888
6.604,3.4964
6.609,3.5040
6.614,3.5115
6.619,3.5190
6.624,3.5263
6.629,3.5337
6.634,3.5410
6.639,3.5482
6.644,3.5552
6.649,3.5624
6.654,3.5693
6.659,3.5762
6.664,3.5831
6.670,3.5899
6.674,3.5966
6.679,3.6033
6.684,3.6098
6.689,3.6164
6.694,3.6228
6.699,3.6293
6.704,3.6356
6.710,3.6419
6.714,3.6481
6.719,3.6542
6.724,3.6603
6.730,3.6664
6.734,3.6723
6.740,3.6783
6.745,3.6841
6.749,3.6898
6.754,3.6955
6.759,3.7012
6.764,3.7067
6.769,3.7123
6.774,3.7177
6.779,3.7231
6.784,3.7283
6.789,3.7336
6.794,3.7387
6.799,3.7439
6.804,3.7489
6.809,3.7539
6.815,3.7587
6.819,3.7636
6.824,3.7683
6.830,3.7731
6.835,3.7777
6.840,3.7823
6.844,3.7868
6.849,3.7912
6.854,3.7955
6.859,3.7999
6.864,3.8041
6.870,3.8084
6.874,3.8124
6.879,3.8165
6.884,3.8205
6.889,3.8245
6.895,3.8283
6.899,3.8322
6.904,3.8359
6.909,3.8396
6.914,3.8432
6.919,3.8468
6.924,3.8503
6.929,3.8538
6.934,3.8572
6.939,3.8606
6.944,3.8639
6.950,3.8672
6.954,3.8703
6.959,3.8735
6.964,3.8765
6.969,3.8795
6.974,3.8825
6.979,3.8854
6.984,3.8882
6.989,3.8911
6.994,3.8938
6.999,3.8965
7.004,3.8992
7.009,3.9018
7.014,3.9043
7.019,3.9069
7.024,3.9093
7.029,3.9118
7.034,3.9141
7.039,3.9164
7.044,3.9187
7.049,3.9210
7.054,3.9231
7.059,3.9253
7.065,3.9274
7.069,3.9295
7.074,3.9315
7.079,3.9335
7.084,3.9354
7.089,3.9374
7.094,3.9392
7.099,3.9411
7.104,3.9428
7.109,3.9446
7.114,3.9463
7.120,3.9481
7.124,3.9497
7.129,3.9514
7.134,3.9529
7.139,3.9545
7.144,3.9560
7.149,3.9576
7.154,3.9590
7.160,3.9604
7.164,3.9618
7.169,3.9632
7.174,3.9645
7.179,3.9659
7.184,3.9671
7.189,3.9684
7.194,3.9696
7.199,3.9708
7.204,3.9719
7.209,3.9731
7.214,3.9742
7.219,3.9753
7.224,3.9764
7.229,3.9774
7.234,3.9784
7.239,3.9795
7.244,3.9804
7.249,3.9814
7.254,3.9823
7.259,3.9832
7.264,3.9841
7.269,3.9850
7.274,3.9858
7.279,3.9866
7.284,3.9874
7.289,3.9882
7.294,3.9889
7.299,3.9897
7.304,3.9904
7.309,3.9911
7.315,3.9918
7.319,3.9925
7.324,3.9931
7.329,3.9938
7.334,3.9943
7.339,3.9950
7.344,3.9955
7.349,3.9961
7.354,3.9966
7.359,3.9972
7.364,3.9976
7.369,3.9981
7.374,3.9986
7.379,3.9989
7.384,3.9991
7.389,3.9993
7.394,3.9992
7.399,3.9991
7.404,3.9989
7.409,3.9986
7.415,3.9981
7.419,3.9975
7.424,3.9968
7.429,3.9961
7.434,3.9953
7.439,3.9943
7.444,3.9933
7.449,3.9922
7.454,3.9909
7.460,3.9895
7.464,3.9880
7.469,3.9865
7.474,3.9848
7.479,3.9830
7.484,3.9811
7.489,3.9791
7.494,3.9769
7.499,3.9747
7.504,3.9723
7.509,3.9699
7.514,3.9673
7.519,3.9646
7.524,3.9618
7.529,3.9589
7.535,3.9558
7.539,3.9527
7.544,3.9494
7.549,3.9460
7.554,3.9425
7.559,3.9389
7.564,3.9351
7.569,3.9313
7.574,3.9273
7.579,3.9232
7.584,3.9190
7.589,3.9146
7.594,3.9101
7.599,3.9055
7.604,3.9008
7.609,3.8960
7.614,3.8910
7.619,3.8859
7.624,3.8808
7.629,3.8755
7.634,3.8700
7.639,3.8645
7.644,3.8587
7.649,3.8529
7.654,3.8470
7.659,3.8409
7.664,3.8347
7.669,3.8284
7.674,3.8219
7.679,3.8153
7.684,3.8086
7.689,3.8018
7.694,3.7949
7.699,3.7878
7.704,3.7807
7.709,3.7733
7.714,3.7659
7.719,3.7583
7.724,3.7506
