elapsed_time_s,tracking_error_m
5.734,0.0030
5.739,0.0086
5.744,0.0031
5.749,0.0088
5.754,0.0031
5.759,0.0090
5.764,0.0031
5.769,0.0091
5.774,0.0031
5.779,0.0093
5.784,0.0031
5.789,0.0094
5.794,0.0030
5.799,0.0096
5.804,0.0031
5.809,0.0098
5.814,0.0030
5.819,0.0099
5.824,0.0030
5.829,0.0100
5.834,0.0030
5.839,0.0102
5.844,0.0030
5.849,0.0103
5.854,0.0029
5.859,0.0104
5.864,0.0029
5.869,0.0106
5.874,0.0028
5.879,0.0107
5.884,0.0029
5.889,0.0108
5.894,0.0028
5.899,0.0110
5.904,0.0027
5.909,0.0111
5.914,0.0028
5.919,0.0112
5.924,0.0027
5.929,0.0114
5.934,0.0027
5.939,0.0115
5.944,0.0027
5.949,0.0116
5.954,0.0026
5.959,0.0117
5.964,0.0025
5.969,0.0118
5.974,0.0025
5.979,0.0120
5.984,0.0026
5.989,0.0121
5.994,0.0025
5.999,0.0122
6.004,0.0024
6.009,0.0123
6.014,0.0024
6.019,0.0124
6.024,0.0023
6.029,0.0124
6.034,0.0022
6.039,0.0126
6.044,0.0022
6.049,0.0127
6.054,0.0022
6.059,0.0128
6.065,0.0021
6.069,0.0128
6.074,0.0021
6.079,0.0129
6.084,0.0020
6.089,0.0129
6.094,0.0020
6.099,0.0131
6.104,0.0019
6.109,0.0132
6.114,0.0019
6.119,0.0132
6.124,0.0018
6.129,0.0133
6.134,0.0018
6.139,0.0132
6.144,0.0017
6.149,0.0135
6.154,0.0017
6.159,0.0135
6.164,0.0016
6.170,0.0136
6.174,0.0016
6.179,0.0135
6.184,0.0015
6.189,0.0138
6.194,0.0015
6.199,0.0138
6.204,0.0015
6.209,0.0138
6.214,0.0014
6.219,0.0139
6.224,0.0014
6.229,0.0140
6.234,0.0014
6.239,0.0140
6.244,0.0014
6.250,0.0138
6.254,0.0013
6.259,0.0141
6.264,0.0013
6.269,0.0142
6.274,0.0013
6.279,0.0142
6.284,0.0013
6.289,0.0142
6.294,0.0013
6.299,0.0142
6.304,0.0013
6.309,0.0144
6.314,0.0013
6.319,0.0143
6.324,0.0013
6.329,0.0143
6.334,0.0014
6.339,0.0144
6.344,0.0014
6.349,0.0144
6.354,0.0014
6.359,0.0144
6.364,0.0014
6.369,0.0145
6.374,0.0015
6.379,0.0145
6.384,0.0015
6.389,0.0145
6.394,0.0016
6.400,0.0146
6.404,0.0017
6.409,0.0146
6.414,0.0016
6.419,0.0146
6.424,0.0017
6.429,0.0146
6.434,0.0018
6.439,0.0147
6.444,0.0018
6.449,0.0147
6.454,0.0019
6.460,0.0146
6.465,0.0020
6.469,0.0148
6.474,0.0019
6.479,0.0147
6.484,0.0021
6.489,0.0148
6.494,0.0021
6.499,0.0147
6.504,0.0022
6.509,0.0147
6.514,0.0022
6.519,0.0147
6.524,0.0023
6.529,0.0147
6.534,0.0024
6.539,0.0147
6.544,0.0026
6.549,0.0148
6.554,0.0025
6.559,0.0147
6.564,0.0026
6.569,0.0148
6.574,0.0027
6.579,0.0147
6.584,0.0027
6.589,0.0148
6.594,0.0029
6.599,0.0147
6.604,0.0029
6.609,0.0147
6.614,0.0030
6.619,0.0147
6.624,0.0030
6.629,0.0147
6.634,0.0032
6.639,0.0147
6.644,0.0032
6.649,0.0146
6.654,0.0032
6.659,0.0147
6.664,0.0035
6.670,0.0145
6.674,0.0034
6.679,0.0146
6.684,0.0035
6.689,0.0147
6.694,0.0035
6.699,0.0146
6.704,0.0037
6.710,0.0145
6.714,0.0037
6.719,0.0147
6.724,0.0037
6.730,0.0144
6.734,0.0040
6.740,0.0144
6.745,0.0041
6.749,0.0145
6.754,0.0041
6.759,0.0145
6.764,0.0041
6.769,0.0143
6.774,0.0043
6.779,0.0144
